fixed.acidity,volatile.acidity,residual.sugar,chlorides,total.sulfur.dioxide,density,sulphates,alcohol,good
11.4,0.6,2.7,0.085,41,0.9994,0.63,10.5,No
7.7,0.69,2.7,0.075,27,0.9974,0.61,9.1,No
8.7,0.31,1.4,0.059,25,0.9966,0.76,10.1,No
9.8,0.44,2.5,0.063,28,0.9981,0.65,10.8,No
12,0.39,3,0.093,30,0.9996,0.63,10.8,Yes
10.4,0.34,3.7,0.174,16,0.997,0.7,11.3,No
12.5,0.46,4.5,0.07,49,0.9981,0.57,9.6,No
9,0.43,2.5,0.08,86,0.9987,0.62,9.5,No
9.1,0.45,2.4,0.08,78,0.9987,0.62,9.5,No
7.1,0.735,1.9,0.1,77,0.9966,0.64,9.3,No
9.9,0.4,6.7,0.097,19,0.9986,0.82,11.7,Yes
8.8,0.52,2.7,0.087,122,0.9982,0.61,9.5,No
8.6,0.725,6.6,0.117,134,1.0014,1.07,9.3,No
10.6,0.48,2.2,0.111,20,0.997,0.66,11.7,No
7,0.58,1.9,0.091,124,0.9956,0.48,10.5,No
11.9,0.38,2,0.121,20,0.9996,0.76,10.4,No
6.8,0.77,1.8,0.066,52,0.9976,0.68,9.9,No
9.5,0.56,2.4,0.089,67,0.9972,0.73,11.8,Yes
6.6,0.84,2.3,0.059,48,0.9952,0.56,12.3,Yes
7.7,0.96,2,0.047,60,0.9955,0.44,10.9,No
10.5,0.24,2.1,0.066,24,0.9978,0.9,11,Yes
7.7,0.96,2,0.047,60,0.9955,0.44,10.9,No
6.6,0.84,2.3,0.059,48,0.9952,0.56,12.3,Yes
6.4,0.67,2.1,0.045,48,0.9949,0.49,11.4,No
9.5,0.78,1.9,0.077,32,0.9988,0.56,10.6,No
9.1,0.52,1.3,0.07,30,0.9978,0.6,9.3,No
12.8,0.84,2.4,0.088,35,0.9997,0.6,10.4,No
10.5,0.24,2.1,0.066,24,0.9978,0.9,11,Yes
7.8,0.55,2.2,0.074,66,0.9974,0.56,9.2,No
11.9,0.37,2.3,0.078,24,0.9958,0.65,12.8,No
12.3,0.39,2.3,0.091,18,1.0004,0.49,9.5,No
10.4,0.41,3.2,0.076,54,0.9996,0.89,9.9,No
12.3,0.39,2.3,0.091,18,1.0004,0.49,9.5,No
8,0.67,2,0.06,62,0.9958,0.56,10.2,No
11.1,0.45,3.2,0.066,22,0.9986,0.66,11.2,No
10.4,0.41,3.2,0.076,54,0.9996,0.89,9.9,No
7,0.62,1.5,0.062,50,0.9951,0.6,9.3,No
12.6,0.31,2.2,0.072,29,0.9987,0.82,9.8,Yes
11.9,0.4,2.15,0.068,27,0.9988,0.68,11.3,No
15.6,0.685,3.7,0.1,43,1.0032,0.68,11.2,Yes
10,0.44,2.7,0.077,19,0.9963,0.63,11.6,Yes
5.3,0.57,1.7,0.054,27,0.9934,0.84,12.5,Yes
9.5,0.735,2.1,0.079,31,0.9986,0.56,10.1,No
12.5,0.38,2.6,0.081,72,0.9996,0.73,10.5,No
9.3,0.48,2.1,0.127,16,0.9968,0.72,11.2,No
8.6,0.53,2,0.1,27,0.9967,0.56,10.2,No
11.9,0.39,2.8,0.095,35,0.9994,0.61,10.8,No
11.9,0.39,2.8,0.095,35,0.9994,0.61,10.8,No
8.4,0.37,1.8,0.413,26,0.9979,1.06,9.1,No
6.8,0.56,1.7,0.084,35,0.9968,0.63,10,No
10.4,0.33,2.8,0.084,22,0.9998,0.74,11.2,Yes
7,0.23,1.6,0.063,67,0.9952,0.63,11.1,No
11.3,0.62,5.2,0.086,19,0.9988,0.69,13.4,Yes
8.9,0.59,2.3,0.095,22,0.9986,0.58,10.3,No
9.2,0.63,2.7,0.097,65,0.9988,0.58,9.6,No
10.4,0.33,2.8,0.084,22,0.9998,0.74,11.2,Yes
11.6,0.58,2.2,0.074,47,1.0008,0.57,9,No
9.2,0.43,2.3,0.083,23,0.9976,0.61,11.3,No
8.3,0.615,2.6,0.087,19,0.9982,0.61,9.3,No
11,0.26,2.55,0.085,25,0.997,0.61,11.8,No
8.1,0.66,2.2,0.098,129,0.9972,0.53,9,No
11.5,0.315,2.1,0.084,15,0.9987,0.7,9.2,No
10,0.29,2.9,0.098,26,1.0006,0.91,9.7,No
10.3,0.5,2,0.069,51,0.9982,0.72,11.5,No
8.8,0.46,2.6,0.065,18,0.9947,0.79,14,No
11.4,0.36,2.1,0.09,21,1,0.62,9.2,No
8.7,0.82,1.2,0.07,48,0.9952,0.58,9.8,No
13,0.32,2.6,0.093,47,0.9996,0.61,10.6,No
9.6,0.54,2.4,0.081,52,0.997,0.71,11.4,No
12.5,0.37,2.6,0.083,68,0.9995,0.82,10.4,No
9.9,0.35,2.1,0.062,14,0.9971,0.79,10.6,No
10.5,0.28,1.7,0.08,24,0.9982,0.89,9.4,No
9.6,0.68,2.2,0.087,28,0.9988,0.6,10.2,No
9.3,0.27,2,0.091,16,0.998,0.7,9.7,No
10.4,0.24,1.8,0.075,20,0.9977,1.06,11,No
9.6,0.68,2.2,0.087,28,0.9988,0.6,10.2,No
9.4,0.685,2.7,0.077,31,0.9984,0.7,10.1,No
10.6,0.28,15.5,0.069,23,1.0026,0.66,9.2,No
9.4,0.3,2.8,0.08,17,0.9964,0.92,11.7,Yes
10.6,0.36,2.2,0.152,18,0.9986,1.05,9.4,No
10.6,0.36,2.2,0.152,18,0.9986,1.06,9.4,No
10.6,0.44,4.1,0.114,24,0.997,0.66,13.4,No
10.2,0.67,1.9,0.054,17,0.9976,0.47,10,No
10.2,0.67,1.9,0.054,17,0.9976,0.47,10,No
10.2,0.645,1.8,0.053,14,0.9982,0.42,10,No
11.6,0.32,2.8,0.081,67,1.0002,0.92,10.8,Yes
9.3,0.39,2.6,0.073,26,0.9984,0.75,10.2,No
9.3,0.775,2.8,0.078,56,0.9984,0.67,10.6,No
9.2,0.41,2.5,0.055,25,0.9952,0.79,13.3,Yes
8.9,0.4,2.6,0.052,27,0.995,0.9,13.4,Yes
8.7,0.69,3,0.086,81,1.0002,0.74,11.6,No
6.5,0.39,8.3,0.051,91,0.9952,0.55,12.1,No
10.7,0.35,2.6,0.07,16,0.9972,0.65,11,Yes
7.8,0.52,1.9,0.081,38,0.9984,0.65,9,No
7.2,0.34,2.5,0.09,113,0.9966,0.79,11.1,No
10.7,0.35,2.6,0.07,16,0.9972,0.65,11,Yes
8.7,0.69,3,0.086,81,1.0002,0.74,11.6,No
7.8,0.52,1.9,0.081,38,0.9984,0.65,9,No
10.4,0.44,6.55,0.074,76,0.999,0.85,12,Yes
10.4,0.44,6.55,0.074,76,0.999,0.85,12,Yes
10.5,0.26,1.9,0.078,24,0.9976,1.04,10.9,Yes
10.5,0.24,1.8,0.077,22,0.9976,1.05,10.8,Yes
10.2,0.49,2.9,0.072,26,0.9968,0.78,12.5,Yes
10.4,0.24,1.8,0.075,21,0.9976,1.02,10.8,Yes
11.2,0.67,2.3,0.084,13,1,0.71,9.5,No
10,0.59,2.2,0.09,62,0.9994,0.63,10.2,No
13.3,0.29,2.8,0.084,43,0.9986,0.68,11.4,Yes
12.4,0.42,4.6,0.073,43,0.9978,0.61,9.5,No
10,0.59,2.2,0.09,62,0.9994,0.63,10.2,No
10.7,0.4,2.1,0.125,49,0.998,0.81,9.7,No
10.5,0.51,2.4,0.107,15,0.9973,0.66,11.8,Yes
10.5,0.51,2.4,0.107,15,0.9973,0.66,11.8,Yes
8.5,0.655,6.1,0.122,151,1.001,1.14,9.3,No
12.5,0.6,4.3,0.1,14,1.001,0.74,11.9,No
10.4,0.61,2.1,0.2,16,0.9994,0.63,8.4,No
10.9,0.21,2.8,0.088,32,0.9972,0.68,11.7,No
7.3,0.365,2.5,0.088,106,0.9966,0.78,11,No
9.8,0.25,2.7,0.088,33,0.9982,0.9,10,No
7.6,0.41,2,0.088,43,0.998,0.64,9.1,No
8.2,0.39,2.3,0.099,133,0.9979,0.99,9.8,No
9.3,0.4,2.5,0.085,142,0.9978,0.55,9.4,No
9.2,0.43,2.4,0.086,116,0.9976,0.64,9.5,No
10.4,0.64,2.8,0.105,53,0.9998,0.67,9.9,No
7.3,0.365,2.5,0.088,106,0.9966,0.78,11,No
7,0.38,2.5,0.097,85,0.9962,0.77,11.4,No
8.2,0.42,2.6,0.084,55,0.9988,0.75,8.7,No
9.9,0.63,2.4,0.077,33,0.9974,0.57,9.4,No
9.1,0.22,2.1,0.078,28,0.999,0.87,10.3,No
11.9,0.38,2.7,0.098,42,1.0004,0.61,10.3,No
11.9,0.38,2.7,0.098,42,1.0004,0.61,10.3,No
10.3,0.27,2.1,0.072,33,0.9956,0.66,12.8,No
10,0.48,2.7,0.102,32,1,0.56,10,No
9.1,0.22,2.1,0.078,28,0.999,0.87,10.3,No
9.9,0.63,2.4,0.077,33,0.9974,0.57,9.4,No
8.1,0.825,2.1,0.084,13,0.9972,0.77,10.7,No
12.9,0.35,5.8,0.066,35,1.0014,0.66,12,Yes
11.2,0.5,5.15,0.1,17,0.9996,0.62,11.2,No
9.2,0.59,3.3,0.101,47,0.9988,0.67,9.6,No
9.5,0.46,6.3,0.064,17,0.9988,0.73,11,No
9.3,0.715,2.1,0.07,20,0.9966,0.59,9.9,No
11.2,0.66,2.5,0.085,53,0.9993,0.72,11,No
14.3,0.31,1.8,0.075,15,1.0008,0.79,8.4,No
9.1,0.47,2.6,0.094,106,0.9982,0.59,9.1,No
7.5,0.55,2,0.078,28,0.9983,0.78,9.5,No
10.6,0.31,2.5,0.067,21,0.9987,0.86,10.7,No
12.4,0.35,2.6,0.079,69,0.9994,0.75,10.4,No
9,0.53,1.9,0.171,25,0.9975,0.61,9.4,No
6.8,0.51,2.1,0.074,25,0.9958,0.56,9.5,No
9.4,0.43,2.8,0.092,45,0.998,0.73,10,No
9.5,0.46,2.7,0.092,44,0.998,0.74,10,No
5,1.04,1.6,0.05,96,0.9934,0.62,11.5,No
15.5,0.645,4.2,0.095,23,1.00315,0.74,11.1,No
15.5,0.645,4.2,0.095,23,1.00315,0.74,11.1,No
10.9,0.53,4.6,0.118,17,1.0002,0.56,11.7,No
15.6,0.645,4.2,0.095,23,1.00315,0.74,11.1,No
10.9,0.53,4.6,0.118,17,1.0002,0.56,11.7,No
13,0.47,4.3,0.085,47,1.0021,0.68,12.7,No
12.7,0.6,2.8,0.075,19,0.9994,0.57,11.4,No
9,0.44,2.4,0.078,121,0.9978,0.58,9.2,No
9,0.54,2.9,0.094,110,0.9982,0.61,9.2,No
7.6,0.29,2.7,0.092,60,0.9971,0.61,10.1,No
13,0.47,4.3,0.085,47,1.0021,0.68,12.7,No
12.7,0.6,2.8,0.075,19,0.9994,0.57,11.4,No
8.7,0.7,2.5,0.226,15,0.9991,0.6,9,No
8.7,0.7,2.5,0.226,15,0.9991,0.6,9,No
9.8,0.5,2.6,0.25,20,0.999,0.79,10.7,No
6.2,0.36,2.2,0.095,42,0.9946,0.57,11.7,No
11.5,0.35,3.3,0.07,37,1.0003,0.91,11,No
6.2,0.36,2.2,0.095,42,0.9946,0.57,11.7,No
10.2,0.24,2.4,0.075,28,0.9978,0.61,10.4,No
10.5,0.59,2.1,0.07,47,0.9991,0.56,9.6,No
10.6,0.34,3.2,0.078,78,0.9992,0.7,10,No
12.3,0.27,3.1,0.079,46,0.9993,0.8,10.2,No
9.9,0.5,2.3,0.103,14,0.9978,0.52,10,No
8.8,0.44,2.8,0.083,111,0.9982,0.6,9.5,No
8.8,0.47,2.9,0.085,110,0.9982,0.6,9.8,No
10.6,0.31,2.2,0.063,40,0.9976,0.51,9.8,No
12.3,0.5,2.2,0.089,14,1.0002,0.44,9.6,No
12.3,0.5,2.2,0.089,14,1.0002,0.44,9.6,No
11.7,0.49,2.2,0.083,15,1,0.43,9.2,No
12,0.28,1.9,0.074,21,0.9976,0.66,9.9,Yes
11.8,0.33,3.4,0.093,80,1.0002,0.76,10.7,Yes
7.6,0.51,2.4,0.091,38,0.998,0.66,9.6,No
11.1,0.31,2.7,0.094,47,0.9986,1.02,10.6,Yes
7.3,0.73,1.9,0.108,102,0.9967,0.59,9.3,No
5,0.42,2,0.06,50,0.9917,0.74,14,Yes
10.2,0.29,2.6,0.059,13,0.9976,0.74,10.5,Yes
9,0.45,2.6,0.084,75,0.9987,0.57,9.7,No
6.6,0.39,1.7,0.07,149,0.9922,0.5,11.5,No
9,0.45,2.6,0.084,75,0.9987,0.57,9.7,No
9.9,0.49,3.5,0.094,43,1.0004,0.58,9,No
7.9,0.72,2.6,0.096,38,0.9978,0.53,9.5,No
8.9,0.595,7.9,0.086,109,0.9998,0.57,9.3,No
12.4,0.4,2,0.059,24,0.9994,0.6,9.3,No
11.9,0.58,1.9,0.071,18,0.998,0.63,10,No
8.5,0.585,2.1,0.078,30,0.9967,0.48,9.8,No
12.7,0.59,2.3,0.082,22,1,0.7,9.3,No
8.2,0.915,2.1,0.088,23,0.9962,0.47,10,No
13.2,0.46,2.2,0.071,35,1.0006,0.56,9,No
7.7,0.835,2.6,0.081,14,0.9975,0.52,9.3,No
13.2,0.46,2.2,0.071,35,1.0006,0.56,9,No
8.3,0.58,2.9,0.096,63,0.9984,0.62,9.1,No
8.3,0.6,2.6,0.085,24,0.9984,0.59,9.2,No
9.4,0.41,4.6,0.072,20,0.9973,0.79,12.2,Yes
8.8,0.48,3.3,0.092,52,0.9982,0.53,10.5,No
10.1,0.65,5.1,0.11,65,1.0026,0.64,10.4,No
6.3,0.36,3.2,0.075,39,0.9956,0.52,12.7,No
8.8,0.24,2.5,0.083,57,0.9983,0.54,9.2,No
13.2,0.38,2.7,0.081,16,1.0006,0.54,9.4,No
7.5,0.64,2.4,0.077,29,0.9965,0.6,10,No
8.2,0.39,1.5,0.058,29,0.9962,0.74,9.8,No
9.2,0.755,2.2,0.148,103,0.9969,1.36,10.2,No
9.6,0.6,2.3,0.079,71,0.9997,0.57,9.7,No
9.6,0.6,2.3,0.079,71,0.9997,0.57,9.7,No
11.5,0.31,2.2,0.079,28,0.9982,0.93,9.8,No
11.4,0.46,2.7,0.122,17,1.0006,0.7,10.2,No
11.3,0.37,2.3,0.088,16,0.9988,0.8,9.3,No
8.3,0.54,3.4,0.076,112,0.9976,0.61,9.4,No
8.2,0.56,3.4,0.078,104,0.9976,0.62,9.4,No
10,0.58,1.9,0.08,32,0.9974,0.55,9.5,No
7.9,0.51,2.9,0.077,45,0.9974,0.96,12.1,No
6.8,0.69,5.6,0.124,58,0.9997,0.72,10.2,No
6.8,0.69,5.6,0.124,58,0.9997,0.72,10.2,No
8.8,0.6,2.2,0.098,15,0.9988,0.49,9.1,No
8.8,0.6,2.2,0.098,15,0.9988,0.49,9.1,No
8.7,0.54,2.5,0.097,31,0.9976,0.6,9.3,No
7.6,0.685,2.3,0.111,84,0.9964,0.61,9.3,No
8.7,0.54,2.5,0.097,31,0.9976,0.6,9.3,No
10.4,0.28,2.7,0.105,19,0.9988,0.63,9.5,No
7.6,0.41,3,0.087,43,0.9964,0.57,10.5,No
10.1,0.935,3.4,0.105,86,1.001,0.64,11.3,No
7.9,0.35,1.9,0.073,102,0.9964,0.58,9.5,No
8.7,0.84,1.4,0.065,33,0.9954,0.55,9.7,No
9.6,0.88,2.4,0.086,147,0.9979,0.53,9.4,No
9.5,0.885,2.3,0.084,145,0.9978,0.53,9.4,No
7.7,0.915,2.2,0.143,23,0.9964,0.65,10.2,Yes
8.9,0.29,1.9,0.067,57,0.997,1.36,10.3,No
9.9,0.54,2.3,0.071,40,0.9991,0.62,9.4,No
9.5,0.59,2.3,0.071,68,0.9992,0.63,9.5,No
9.9,0.54,2.3,0.071,40,0.9991,0.62,9.4,No
9.5,0.59,2.3,0.071,68,0.9992,0.63,9.5,No
9.9,0.54,2.3,0.071,40,0.9991,0.62,9.4,No
7.8,0.64,6,0.115,11,0.9984,0.69,10.1,Yes
7.3,0.67,3.6,0.107,20,0.9972,0.63,10.1,No
8.3,0.845,2.2,0.07,14,0.9967,0.58,11,No
8.7,0.48,2.8,0.066,28,0.9964,0.67,11.2,Yes
6.7,0.42,8.6,0.068,148,0.9948,0.57,11.3,No
10.7,0.43,2.2,0.106,32,0.9986,0.5,9.6,No
9.8,0.88,2.5,0.104,155,1.001,0.67,11.2,No
15.9,0.36,7.5,0.096,71,0.9976,0.84,14.9,No
9.4,0.33,2.8,0.079,30,0.9976,0.54,12,No
8.6,0.47,2.4,0.074,29,0.9979,0.46,9.5,No
9.7,0.55,2.9,0.087,53,1.0004,0.61,9.4,No
10.7,0.43,2.2,0.106,32,0.9986,0.5,9.6,No
12,0.5,1.4,0.073,42,0.998,0.68,10.5,Yes
7.2,0.52,1.4,0.074,20,0.9973,0.81,9.6,No
7.1,0.84,4.4,0.096,13,0.997,0.57,11,No
7.2,0.52,1.4,0.074,20,0.9973,0.81,9.6,No
7.5,0.42,1.6,0.08,42,0.9978,0.64,9,No
7.2,0.57,1.6,0.076,27,0.9972,0.7,9.6,No
10.1,0.28,1.8,0.05,13,0.9974,0.79,10.2,No
12.1,0.4,2,0.092,54,1,0.66,10.2,No
9.4,0.59,2,0.084,48,0.9981,0.56,9.7,No
8.3,0.49,1.8,0.222,16,0.998,0.6,9.5,No
11.3,0.34,2,0.082,15,0.9988,0.66,9.2,No
10,0.73,2.3,0.059,31,0.9966,0.57,11,No
11.3,0.34,2,0.082,15,0.9988,0.66,9.2,No
6.9,0.4,2.5,0.083,45,0.9959,0.58,10,No
8.2,0.73,1.7,0.074,13,0.9968,0.52,9.5,No
9.8,1.24,2,0.079,151,0.998,0.53,9.5,No
8.2,0.73,1.7,0.074,13,0.9968,0.52,9.5,No
10.8,0.4,2.2,0.084,17,0.9984,0.67,9.3,No
9.3,0.41,2.2,0.064,31,0.9984,0.65,10.2,No
10.8,0.4,2.2,0.084,17,0.9984,0.67,9.3,No
8.6,0.8,2.3,0.084,31,0.9979,0.48,9.9,No
8.3,0.78,2.6,0.081,87,0.9983,0.53,10,No
10.8,0.26,3.3,0.06,49,0.9972,0.54,9.6,No
13.3,0.43,1.9,0.07,40,1.0004,0.49,9,No
8,0.45,2.2,0.094,29,0.9962,0.49,10.2,No
8.5,0.46,2.25,0.078,58,0.998,0.54,9.8,No
8.1,0.78,2.6,0.059,15,0.997,0.56,11.3,No
9.8,0.98,2.3,0.078,152,0.998,0.48,9.4,No
8.1,0.78,2.6,0.059,15,0.997,0.56,11.3,No
7.1,0.65,1.8,0.07,40,0.997,0.6,9.1,No
9.1,0.64,3.1,0.095,38,0.9998,0.59,9.7,No
7.7,0.66,1.6,0.039,9,0.9962,0.47,9.4,No
8.1,0.38,1.8,0.157,17,0.9976,1.05,9.4,No
7.4,1.185,4.25,0.097,14,0.9966,0.54,10.7,No
9.2,0.92,2.6,0.087,93,0.9998,0.54,9.8,No
8.6,0.49,2,0.422,62,0.9979,1.17,9,No
9,0.48,2.8,0.084,122,0.9984,0.62,9.4,No
9,0.47,2.7,0.084,125,0.9984,0.61,9.4,No
5.1,0.47,1.3,0.034,44,0.9921,0.62,12.8,No
7,0.65,2.1,0.066,25,0.9972,0.67,9.5,No
7,0.65,2.1,0.066,25,0.9972,0.67,9.5,No
9.4,0.615,3.2,0.087,72,1.0001,0.53,9.7,No
11.8,0.38,2.1,0.071,19,0.9986,0.62,10.8,No
10.6,1.02,2.9,0.076,88,0.9984,0.57,10.1,No
7,0.65,2.1,0.066,25,0.9972,0.67,9.5,No
7,0.64,2.1,0.067,23,0.997,0.67,9.4,No
7.5,0.38,2.6,0.073,84,0.9972,0.7,9.6,No
9.1,0.765,1.6,0.078,14,0.998,0.54,9.7,No
8.4,1.035,6,0.073,54,0.999,0.49,9.9,No
7,0.78,2,0.093,19,0.9956,0.47,10,No
7.4,0.49,3,0.077,37,0.9966,0.51,10.5,No
7.8,0.545,2.5,0.068,35,0.996,0.61,11.6,No
9.7,0.31,1.6,0.062,33,0.9983,0.66,10,No
10.6,1.025,2.8,0.08,84,0.9985,0.57,10.1,No
8.9,0.565,3,0.093,112,0.9998,0.61,9.5,No
8.7,0.69,3.2,0.084,33,0.9992,0.45,9.4,No
8,0.43,2.3,0.075,48,0.9976,0.46,9.4,No
9.9,0.74,2.6,0.078,77,0.998,0.51,9.8,No
7.2,0.49,2.7,0.069,34,0.9967,0.48,9.2,No
8,0.43,2.3,0.075,48,0.9976,0.46,9.4,No
7.6,0.46,2.6,0.079,49,0.9968,0.57,10,No
8.4,0.56,2,0.082,22,0.9976,0.44,9.6,No
7.1,0.66,3.9,0.086,45,0.9976,0.54,9.5,No
8.4,0.56,2,0.082,22,0.9976,0.44,9.6,No
8.9,0.48,2.85,0.094,106,0.9982,0.53,9.2,No
7.6,0.42,2.7,0.084,48,0.9968,0.59,10,No
7.1,0.31,2.2,0.053,127,0.9965,1.62,9.5,No
7.5,1.115,3.1,0.086,12,0.9958,0.6,11.2,No
9,0.66,3,0.077,13,0.9976,0.55,10.4,No
8.1,0.72,2.8,0.084,49,0.9994,0.72,11.1,No
6.4,0.57,1.8,0.067,11,0.997,0.68,9.5,No
6.4,0.57,1.8,0.067,11,0.997,0.68,9.5,No
6.4,0.865,3.2,0.071,58,0.995,0.49,12.7,No
9.5,0.55,2.3,0.387,37,0.9982,0.67,9.6,No
8.9,0.875,3.45,0.088,14,0.9994,0.52,11.5,No
7.3,0.835,2.1,0.092,19,0.9966,0.47,9.6,No
7,0.45,2.7,0.082,72,0.998,0.6,9.5,No
7.7,0.56,2,0.075,39,0.9987,0.62,9.3,No
7.7,0.965,2.1,0.112,22,0.9963,0.5,9.5,No
7.7,0.965,2.1,0.112,22,0.9963,0.5,9.5,No
8.2,0.59,2.5,0.093,58,1.0002,0.65,9.3,No
9,0.46,2.8,0.092,104,0.9983,0.56,9.2,No
9,0.69,2.4,0.088,38,0.999,0.6,9.3,No
8.3,0.76,4.2,0.075,16,0.9965,0.68,11.5,No
9.2,0.53,2.6,0.078,139,0.99788,0.57,9.5,No
6.5,0.615,1.9,0.065,18,0.9972,0.65,9.2,No
11.6,0.41,2.8,0.096,101,1.00024,0.53,10,No
11.1,0.39,2.7,0.095,101,1.0001,0.51,9.5,No
7.3,0.51,2.1,0.07,28,0.99768,0.73,9.5,No
8.2,0.34,2.5,0.08,57,0.9978,0.47,9,No
8.6,0.33,2.6,0.083,68,0.99782,0.48,9.4,No
7.2,0.5,2.1,0.071,31,0.99761,0.72,9.6,No
7.3,0.51,2.1,0.07,28,0.99768,0.73,9.5,No
8.3,0.65,2.9,0.089,40,0.99803,0.55,9.5,No
8.3,0.65,2.9,0.089,40,0.99803,0.55,9.5,No
7.6,0.54,2.5,0.097,66,0.99785,0.61,9.4,No
8.3,0.65,2.9,0.089,40,0.99803,0.55,9.5,No
7.8,0.48,1.7,0.415,32,0.99656,1.06,9.1,No
7.8,0.91,1.9,0.058,47,0.99525,0.43,10.7,No
6.3,0.98,2,0.057,33,0.99488,0.46,11.2,No
8.1,0.87,2.2,0.084,31,0.99656,0.5,9.8,No
8.1,0.87,2.2,0.084,31,0.99656,0.5,9.8,No
8.8,0.42,2.5,0.092,88,0.99823,0.52,9.2,No
9,0.58,2.8,0.075,104,0.99779,0.57,9.7,No
9.3,0.655,2,0.096,35,0.99738,0.42,9.6,No
8.8,0.7,1.7,0.069,19,0.99701,0.53,10,No
9.3,0.655,2,0.096,35,0.99738,0.42,9.6,No
9.1,0.68,2.8,0.093,44,0.99888,0.55,9.5,No
9.2,0.67,3,0.091,48,0.99888,0.54,9.5,No
8.8,0.59,2.9,0.089,74,0.99738,0.54,9.4,No
7.5,0.6,2.7,0.103,98,0.99938,0.62,9.5,No
7.1,0.59,2.3,0.082,94,0.99744,0.53,9.7,No
7.9,0.72,1.9,0.076,32,0.99668,0.54,9.6,No
7.1,0.59,2.3,0.082,94,0.99744,0.53,9.7,No
9.4,0.685,2.4,0.082,143,0.9978,0.55,9.4,No
9.5,0.57,2.3,0.082,144,0.99782,0.55,9.4,No
7.9,0.4,1.8,0.157,44,0.9973,0.92,9.5,No
7.9,0.4,1.8,0.157,45,0.99727,0.91,9.5,No
7.2,1,3,0.102,16,0.99586,0.46,10,No
6.9,0.765,2.4,0.243,48,0.99612,0.6,10.3,No
6.9,0.635,2.4,0.241,18,0.9961,0.59,10.3,No
8.3,0.43,3.4,0.079,34,0.99788,0.61,10.5,No
7.1,0.52,2.6,0.076,92,0.99745,0.6,9.8,No
7,0.57,2,0.19,45,0.99676,0.6,9.4,No
6.5,0.46,2.4,0.114,37,0.99732,0.65,9.8,No
9,0.82,2.4,0.081,96,0.99814,0.53,10,No
6.5,0.46,2.4,0.114,37,0.99732,0.65,9.8,No
7.1,0.59,2.5,0.077,85,0.99746,0.59,9.8,No
9.9,0.35,2.3,0.083,61,0.9982,0.5,9.5,No
9.9,0.35,2.3,0.083,61,0.9982,0.5,9.5,No
10,0.56,2.2,0.079,58,0.9991,0.56,10.1,No
10,0.56,2.2,0.079,58,0.9991,0.56,10.1,No
8.6,0.63,2.9,0.099,119,0.998,0.52,9.3,No
7.4,0.37,2.6,0.082,82,0.99708,0.68,9.7,No
8.8,0.64,2.9,0.084,130,0.99818,0.54,9.6,No
7.1,0.61,2.5,0.081,87,0.99745,0.6,9.7,No
7.7,0.6,2.6,0.055,13,0.99639,0.56,10.8,No
10.1,0.27,2.3,0.065,26,0.99531,0.53,12.5,No
10.8,0.89,2.6,0.132,60,0.99786,1.18,10.2,No
8.7,0.46,2.5,0.126,64,0.99746,0.74,9.6,No
9.3,0.37,1.6,0.038,42,0.99526,0.81,10.8,Yes
9.4,0.5,3.6,0.082,14,0.9987,0.52,10.7,No
9.4,0.5,3.6,0.082,14,0.9987,0.52,10.7,No
7.2,0.61,4,0.082,108,0.99641,0.51,9.4,No
8.6,0.55,3.3,0.068,17,0.99735,0.44,10,No
5.1,0.585,1.7,0.044,86,0.99264,0.94,12.9,Yes
7.7,0.56,2.5,0.114,46,0.9971,0.66,9.6,No
8.4,0.52,2.7,0.084,18,0.99682,0.57,9.9,No
8.2,0.28,2.4,0.052,10,0.99356,0.7,12.8,Yes
8.4,0.25,2,0.041,10,0.99386,0.71,12.5,Yes
