fixed.acidity,volatile.acidity,residual.sugar,chlorides,total.sulfur.dioxide,density,sulphates,alcohol,good
8.2,0.28,2.4,0.052,10,0.99356,0.7,12.8,Yes
7.4,0.53,1.9,0.165,12,0.99702,0.86,9.2,No
7.6,0.48,2.8,0.07,15,0.99693,0.55,10.3,No
7.3,0.49,2.6,0.068,14,0.99562,0.47,10.5,No
12.9,0.5,2.8,0.072,24,1.00012,0.68,10.9,No
10.8,0.45,2.5,0.099,38,0.99818,0.71,10.8,No
6.9,0.39,2.1,0.102,7,0.99462,0.58,11.4,No
12.6,0.41,2.8,0.103,41,0.99939,0.76,11.3,No
10.8,0.45,2.5,0.099,38,0.99818,0.71,10.8,No
9.8,0.51,3.2,0.081,30,0.9984,0.58,10.5,No
10.8,0.29,1.6,0.084,27,0.99545,0.73,11.9,No
7.1,0.715,2.35,0.071,47,0.99632,0.45,9.4,No
9.1,0.66,3.2,0.097,59,0.99976,0.54,9.6,No
7,0.685,1.9,0.099,22,0.99606,0.6,9.7,No
4.9,0.42,2.1,0.048,42,0.99154,0.74,14,Yes
6.7,0.54,2,0.076,36,0.9973,0.64,9.8,No
6.7,0.54,2,0.076,36,0.9973,0.64,9.8,No
7.1,0.48,2.8,0.068,16,0.99682,0.53,10.3,No
7.1,0.46,2.8,0.076,37,0.99624,0.49,10.7,No
7.5,0.27,2.3,0.05,8,0.9951,0.64,11,Yes
7.1,0.46,2.8,0.076,37,0.99624,0.49,10.7,No
7.8,0.57,2.3,0.065,45,0.99417,0.74,12.7,Yes
5.9,0.61,2.1,0.071,24,0.99376,0.77,11.1,No
7.5,0.685,2.5,0.058,9,0.99632,0.55,10.9,No
5.9,0.61,2.1,0.071,24,0.99376,0.77,11.1,No
10.4,0.44,1.5,0.145,48,0.99832,0.86,9.9,No
11.6,0.47,1.6,0.147,51,0.99836,0.86,9.9,No
8.8,0.685,1.6,0.088,23,0.99694,0.47,9.4,No
7.6,0.665,1.5,0.066,55,0.99655,0.51,9.3,No
6.7,0.28,2.4,0.012,100,0.99064,0.39,11.7,Yes
6.7,0.28,2.4,0.012,100,0.99064,0.39,11.7,Yes
10.1,0.31,1.6,0.075,28,0.99672,0.83,11.2,Yes
6,0.5,2.2,0.092,26,0.99647,0.47,10,No
11.1,0.42,2.65,0.085,34,0.99736,0.77,12.1,Yes
6.6,0.66,3,0.115,31,0.99629,0.63,10.3,No
10.6,0.5,2.6,0.119,68,0.99708,0.72,10.9,No
7.1,0.685,2,0.088,92,0.9963,0.62,9.4,No
9.9,0.25,1.7,0.062,42,0.9959,0.83,10.6,No
6.4,0.64,1.8,0.081,31,0.99689,0.66,9.8,No
6.4,0.64,1.8,0.081,31,0.99689,0.66,9.8,No
7.4,0.68,1.8,0.078,39,0.9977,0.7,9.9,No
6.4,0.64,1.8,0.081,31,0.99689,0.66,9.8,No
6.4,0.63,1.6,0.08,32,0.99689,0.66,9.8,No
9.3,0.43,1.9,0.085,22,0.99708,0.55,9.5,No
9.3,0.43,1.9,0.085,22,0.99708,0.55,9.5,No
8,0.42,2.5,0.08,122,0.99801,1.07,9.7,No
9.3,0.36,1.5,0.08,55,0.99652,0.73,10.9,No
9.3,0.36,1.5,0.08,55,0.99652,0.73,10.9,No
7.6,0.735,2.5,0.071,14,0.99538,0.71,11.7,Yes
9.3,0.36,1.5,0.08,55,0.99652,0.73,10.9,No
8.2,0.26,2.5,0.073,47,0.99594,0.78,11.3,Yes
11.7,0.28,1.7,0.054,32,0.99686,0.67,10.6,Yes
6.8,0.56,1.8,0.074,24,0.99438,0.82,11.2,No
7.2,0.62,2.7,0.077,85,0.99746,0.54,9.5,No
5.8,1.01,2,0.039,88,0.99357,0.6,11.5,No
7.5,0.42,2.7,0.067,25,0.99628,0.44,10.4,No
7.2,0.62,2.5,0.078,84,0.99746,0.53,9.7,No
7.2,0.62,2.7,0.077,85,0.99746,0.54,9.5,No
7.2,0.635,2.6,0.077,86,0.99748,0.54,9.7,No
6.8,0.49,2.3,0.071,24,0.99438,0.83,11.3,No
6.9,0.51,2,0.072,22,0.99438,0.84,11.2,No
6.8,0.56,1.8,0.074,24,0.99438,0.82,11.2,No
7.6,0.63,2,0.08,43,0.99578,0.64,10.9,No
7.7,0.715,2.1,0.064,43,0.99371,0.57,11.8,No
6.9,0.56,1.5,0.086,46,0.99522,0.57,10.6,No
7.3,0.35,2,0.067,48,0.99576,0.54,10,No
9.1,0.21,1.6,0.067,10,0.99552,0.58,11.1,Yes
10.4,0.38,2.1,0.104,10,0.99664,0.65,11.8,Yes
8.8,0.31,2.8,0.109,16,0.99614,0.79,11.8,Yes
7.1,0.47,2.2,0.067,14,0.99517,0.58,10.9,No
7.7,0.715,2.1,0.064,43,0.99371,0.57,11.8,No
8.8,0.61,4,0.094,69,0.99787,0.5,10,No
7.2,0.6,2.5,0.076,88,0.99745,0.55,9.5,No
9.2,0.56,1.6,0.078,21,0.99576,0.49,9.9,No
7.6,0.715,2.1,0.068,35,0.99533,0.65,11.4,No
8.4,0.31,3.1,0.194,26,0.99536,0.78,12,No
7.2,0.6,2.5,0.076,88,0.99745,0.55,9.5,No
8.8,0.61,4,0.094,69,0.99787,0.5,10,No
8.9,0.75,2.5,0.086,30,0.99824,0.64,10.5,No
9,0.8,2.4,0.083,28,0.99836,0.65,10.4,No
10.7,0.52,2.6,0.066,56,0.99577,0.79,12.1,Yes
6.8,0.57,2.5,0.072,64,0.99491,0.56,11.2,No
10.7,0.9,6.6,0.112,99,1.00289,0.68,9.3,No
7.2,0.34,2,0.071,52,0.99576,0.58,10.1,No
7.2,0.66,2.3,0.078,86,0.99743,0.57,9.7,No
10.1,0.45,1.9,0.082,18,0.99774,0.65,9.3,No
7.2,0.66,2.3,0.078,86,0.99743,0.57,9.7,No
7.2,0.63,2.2,0.08,88,0.99745,0.58,9.8,No
7.1,0.59,2.3,0.08,43,0.9955,0.58,10.7,No
8.3,0.31,2.4,0.078,43,0.99444,0.77,12.5,Yes
7.1,0.59,2.3,0.08,43,0.9955,0.58,10.7,No
8.3,0.31,2.4,0.078,43,0.99444,0.77,12.5,Yes
8.3,1.02,3.4,0.084,11,0.99892,0.49,11,No
8.9,0.31,2.6,0.056,39,0.99562,0.69,11.8,No
7.4,0.635,2.4,0.08,33,0.99736,0.69,10.8,Yes
7.4,0.635,2.4,0.08,33,0.99736,0.69,10.8,Yes
6.8,0.59,6,0.06,18,0.9962,0.59,10.8,Yes
6.8,0.59,6,0.06,18,0.9962,0.59,10.8,Yes
9.2,0.58,3,0.081,115,0.998,0.59,9.5,No
7.2,0.54,2.6,0.084,78,0.9964,0.71,11,No
6.1,0.56,2.2,0.079,9,0.9948,0.54,11.5,No
7.4,0.52,2.4,0.078,61,0.99528,0.59,10.8,No
7.3,0.305,1.2,0.059,11,0.99331,0.52,11.5,No
9.3,0.38,3.8,0.132,11,0.99577,0.57,13.2,No
9.1,0.28,9,0.114,9,0.99901,0.6,10.9,No
10,0.46,2.9,0.065,8,0.99674,0.62,12.2,No
9.4,0.395,4.6,0.094,10,0.99639,0.64,12.2,Yes
7.3,0.305,1.2,0.059,11,0.99331,0.52,11.5,No
8.6,0.315,2.2,0.079,6,0.99512,0.67,11.9,No
5.3,0.715,1.5,0.161,62,0.99395,0.61,11,No
6.8,0.41,8.8,0.084,45,0.99824,0.64,10.1,No
8.4,0.36,2.2,0.081,79,0.9964,0.72,11,No
8.4,0.62,1.8,0.072,46,0.99504,0.89,11.8,No
9.6,0.41,2.3,0.091,23,0.99786,0.56,10.5,No
8.4,0.36,2.2,0.081,79,0.9964,0.72,11,No
8.4,0.62,1.8,0.072,46,0.99504,0.89,11.8,No
6.8,0.41,8.8,0.084,45,0.99824,0.64,10.1,No
8.6,0.47,2.3,0.055,28,0.99516,0.8,11.2,No
8.6,0.22,1.9,0.064,77,0.99604,0.87,11,Yes
9.4,0.24,2.3,0.061,73,0.99786,0.9,10.2,No
8.4,0.67,2.2,0.093,75,0.99736,0.59,9.2,No
8.6,0.47,2.3,0.055,28,0.99516,0.8,11.2,No
8.7,0.33,3.3,0.063,19,0.99468,0.73,12,Yes
6.6,0.61,1.9,0.08,25,0.99746,0.73,10.5,No
7.4,0.61,2,0.074,38,0.99748,0.65,9.8,No
7.6,0.4,1.9,0.078,66,0.9971,0.59,9.5,No
7.4,0.61,2,0.074,38,0.99748,0.65,9.8,No
6.6,0.61,1.9,0.08,25,0.99746,0.73,10.5,No
8.8,0.3,2.3,0.06,72,0.99543,0.72,11.8,No
8.8,0.3,2.3,0.06,72,0.99543,0.72,11.8,No
12,0.63,1.4,0.071,26,0.99791,0.6,10.4,No
7.2,0.38,2.8,0.068,42,0.99356,0.72,12.9,Yes
6.2,0.46,1.6,0.073,11,0.99425,0.54,11.4,No
9.6,0.33,2.2,0.074,25,0.99509,0.76,12.4,Yes
9.9,0.27,5,0.082,17,0.99484,0.52,12.5,Yes
10.1,0.43,2.6,0.092,52,0.99834,0.64,10,Yes
9.8,0.5,2.3,0.094,45,0.99864,0.6,9.7,Yes
8.3,0.3,3.8,0.09,24,0.99498,0.64,12.1,Yes
10.2,0.44,2,0.071,20,0.99566,0.79,11.1,Yes
10.2,0.44,4.1,0.092,24,0.99745,0.99,12,Yes
8.3,0.28,2.1,0.093,12,0.99408,0.62,12.4,Yes
8.9,0.12,1.8,0.075,21,0.99552,0.76,11.9,Yes
8.9,0.12,1.8,0.075,21,0.99552,0.76,11.9,Yes
8.9,0.12,1.8,0.075,21,0.99552,0.76,11.9,Yes
8.3,0.28,2.1,0.093,12,0.99408,0.62,12.4,Yes
8.2,0.31,2.2,0.058,10,0.99536,0.68,11.2,Yes
10.2,0.34,2.1,0.052,9,0.99458,0.69,12.1,Yes
7.6,0.43,2.7,0.082,11,0.99538,0.54,12.2,No
8.5,0.21,1.9,0.09,23,0.99648,0.67,10.4,No
9,0.36,2.1,0.111,10,0.99568,0.62,11.3,No
9.5,0.37,2,0.088,51,0.99613,0.58,11.1,No
6.4,0.57,2.3,0.12,36,0.99519,0.71,11.3,Yes
8,0.59,2,0.089,32,0.99735,0.61,10,No
8.5,0.47,1.9,0.058,38,0.99518,0.85,11.1,No
7.1,0.56,1.6,0.078,18,0.99592,0.62,9.3,No
6.6,0.57,2.1,0.115,16,0.99654,0.69,9.5,No
8.8,0.27,2,0.1,27,0.99546,0.69,11.2,No
8.5,0.47,1.9,0.058,38,0.99518,0.85,11.1,No
8.3,0.34,2.4,0.065,48,0.99554,0.86,11,No
9,0.38,2.4,0.103,10,0.99604,0.58,11.9,Yes
8.5,0.66,2.1,0.097,113,0.99733,0.48,9.2,No
9,0.4,2.4,0.068,46,0.9943,0.6,12.2,No
6.7,0.56,2.9,0.079,22,0.99669,0.61,10.2,No
10.4,0.26,1.9,0.066,10,0.99724,0.87,10.9,No
10.4,0.26,1.9,0.066,10,0.99724,0.87,10.9,No
10.1,0.38,2.4,0.104,13,0.99643,0.65,11.6,Yes
8.5,0.34,1.7,0.079,12,0.99605,0.63,10.7,No
8.8,0.33,5.9,0.073,13,0.99658,0.62,12.1,Yes
7.2,0.41,2.1,0.083,72,0.997,0.52,9.4,No
7.2,0.41,2.1,0.083,72,0.997,0.52,9.4,No
8.4,0.59,2.6,0.109,119,0.99801,0.5,9.1,No
7,0.4,3.6,0.061,29,0.99416,0.49,11.3,Yes
12.2,0.45,1.4,0.075,6,0.9969,0.63,10.4,No
9.1,0.5,1.9,0.065,17,0.99774,0.71,10.5,No
9.5,0.86,1.9,0.079,28,0.99712,0.62,10,No
7.3,0.52,2.1,0.07,70,0.99418,0.82,12.9,No
9.1,0.5,1.9,0.065,17,0.99774,0.71,10.5,No
12.2,0.45,1.4,0.075,6,0.9969,0.63,10.4,No
7.4,0.58,2,0.064,11,0.99562,0.58,11.3,No
9.8,0.34,1.4,0.066,7,0.9947,0.55,11.4,Yes
7.1,0.36,1.6,0.08,70,0.99693,0.5,9.4,No
7.7,0.39,1.7,0.097,27,0.99596,0.49,9.4,No
9.7,0.295,1.5,0.073,21,0.99556,0.51,10.9,No
7.7,0.39,1.7,0.097,27,0.99596,0.49,9.4,No
7.1,0.34,2,0.082,68,0.99694,0.48,9.4,No
6.5,0.4,2,0.076,47,0.99554,0.48,9.4,No
7.1,0.34,2,0.082,68,0.99694,0.48,9.4,No
10,0.35,2.5,0.092,88,0.99918,0.43,9.4,No
7.7,0.6,2,0.079,41,0.99697,0.62,10.1,No
5.6,0.66,2.2,0.087,11,0.99378,0.63,12.8,Yes
5.6,0.66,2.2,0.087,11,0.99378,0.63,12.8,Yes
8.9,0.84,1.4,0.05,10,0.99554,0.48,9.1,No
6.4,0.69,1.65,0.055,12,0.99162,0.53,12.9,No
7.5,0.43,2.2,0.062,12,0.99495,0.72,11.5,Yes
9.9,0.35,1.5,0.058,47,0.99676,0.82,10.6,Yes
9.1,0.29,2.05,0.063,27,0.99516,0.84,11.7,Yes
6.8,0.36,1.8,0.067,8,0.9928,0.55,12.8,Yes
8.2,0.43,1.6,0.081,45,0.99603,0.54,10.3,No
6.8,0.36,1.8,0.067,8,0.9928,0.55,12.8,Yes
9.1,0.29,2.05,0.063,27,0.99516,0.84,11.7,Yes
9.1,0.3,2,0.064,25,0.99516,0.84,11.7,Yes
8.9,0.35,3.6,0.11,24,0.99549,0.7,12,Yes
9.6,0.5,2.8,0.116,55,0.99722,0.68,10.9,No
8.9,0.28,1.7,0.067,12,0.99354,0.55,12.3,Yes
8.9,0.32,2,0.088,19,0.9957,0.55,10.4,No
7.7,1.005,2.1,0.102,32,0.99604,0.48,10,No
7.5,0.71,1.6,0.092,31,0.99635,0.58,10,No
8,0.58,2,0.12,7,0.99454,0.58,11.2,No
10.5,0.39,2.2,0.075,27,0.99598,0.84,11.4,No
8.9,0.38,2.2,0.068,28,0.99486,0.75,12.6,Yes
8,0.18,0.9,0.049,109,0.99007,0.44,12.7,No
8,0.18,0.9,0.049,109,0.99007,0.44,12.7,No
7,0.5,1.8,0.078,23,0.99636,0.61,10.4,No
11.3,0.36,2.4,0.123,8,0.99642,0.53,11.9,No
11.3,0.36,2.4,0.123,8,0.99642,0.53,11.9,No
7,0.51,2.1,0.062,9,0.99584,0.54,10.5,No
8.2,0.32,2.3,0.098,9,0.99506,0.55,12.3,No
7.7,0.58,1.8,0.088,18,0.99568,0.56,10.5,Yes
8.6,0.83,2.8,0.095,43,0.99822,0.6,10.4,No
7.9,0.31,1.9,0.066,36,0.99364,0.56,12.6,No
6.4,0.795,2.2,0.065,52,0.99378,0.52,11.6,No
7.2,0.34,2.5,0.075,68,0.99586,0.54,10.1,No
7.7,0.58,1.8,0.088,18,0.99568,0.56,10.5,Yes
7.1,0.59,2.1,0.091,14,0.99488,0.55,11.5,Yes
7.3,0.55,1.8,0.093,15,0.99514,0.58,11,Yes
8.1,0.82,4.1,0.095,14,0.99854,0.53,9.6,No
7.5,0.57,2.6,0.089,27,0.99592,0.59,10.4,No
8.9,0.745,2.5,0.077,48,0.99739,0.47,9.7,No
10.1,0.37,2.4,0.085,17,0.99683,0.65,10.6,Yes
7.6,0.31,2.5,0.082,35,0.99356,0.59,12.5,Yes
7.3,0.91,1.8,0.074,56,0.99672,0.56,9.2,No
8.7,0.41,6.2,0.078,42,0.9953,0.77,12.6,Yes
8.9,0.5,2.2,0.088,39,0.99692,0.83,11.1,No
7.4,0.965,2.2,0.088,32,0.99756,0.67,10.2,No
6.9,0.49,1.7,0.079,26,0.99547,0.64,9.8,No
8.9,0.5,2.2,0.088,39,0.99692,0.83,11.1,No
9.5,0.39,8.9,0.069,39,0.99859,0.81,10.9,Yes
6.4,0.39,3.3,0.046,53,0.99294,0.62,12.2,No
6.9,0.44,1.4,0.07,38,0.99438,0.58,11.4,No
7.6,0.78,1.7,0.076,45,0.99612,0.62,10.7,No
7.1,0.43,1.8,0.082,51,0.99634,0.64,10.4,No
9.3,0.49,1.7,0.081,14,0.99702,0.78,10.9,No
9.3,0.5,1.8,0.084,17,0.99704,0.77,10.8,No
7.1,0.43,1.8,0.082,51,0.99634,0.64,10.4,No
8.5,0.46,1.4,0.414,45,0.99702,1.34,9.2,No
5.6,0.605,2.4,0.073,25,0.99258,0.55,12.9,No
8.3,0.33,2.3,0.07,20,0.99426,0.77,12.7,Yes
8.2,0.64,2,0.095,77,0.99747,0.62,9.1,No
8.2,0.64,2,0.095,77,0.99747,0.62,9.1,No
8.9,0.48,4,0.101,10,0.99586,0.59,12.1,Yes
7.6,0.42,3.9,0.104,90,0.99784,0.57,9.1,No
9.9,0.53,2.4,0.093,52,0.9971,0.76,11.6,Yes
8.9,0.48,4,0.101,10,0.99586,0.59,12.1,Yes
11.6,0.23,1.8,0.074,8,0.9981,0.7,9.9,No
9.1,0.4,1.8,0.071,16,0.99462,0.69,12.5,Yes
8,0.38,1.9,0.098,15,0.9956,0.64,11.4,No
10.2,0.29,2.4,0.075,17,0.99565,0.63,11.8,No
8.2,0.74,2,0.067,10,0.99418,0.57,11.8,No
7.7,0.61,2.4,0.083,20,0.9963,0.6,10.2,No
6.6,0.52,2.4,0.07,26,0.99358,0.72,12.5,Yes
11.1,0.31,2.2,0.06,10,0.99572,0.83,10.9,Yes
11.1,0.31,2.2,0.06,10,0.99572,0.83,10.9,Yes
8,0.62,2.8,0.086,52,0.997,0.62,10.8,No
9.3,0.33,1.5,0.057,37,0.99498,0.89,11.1,Yes
7.5,0.77,8.1,0.098,92,0.99892,0.58,9.2,No
7.2,0.35,1.8,0.083,75,0.9968,0.58,9.5,No
8,0.62,2.7,0.088,37,0.9972,0.58,10.7,No
7.5,0.77,8.1,0.098,92,0.99892,0.58,9.2,No
9.1,0.25,2,0.071,67,0.99769,0.86,10.2,Yes
9.9,0.32,2,0.073,8,0.99534,0.73,11.4,No
8.6,0.37,6.4,0.08,8,0.99817,0.58,11,No
8.6,0.37,6.4,0.08,8,0.99817,0.58,11,No
7.9,0.3,8.3,0.05,278,0.99316,0.51,12.3,Yes
10.3,0.27,1.4,0.047,8,0.99471,0.51,11.8,No
7.9,0.3,8.3,0.05,289,0.99316,0.51,12.3,Yes
7.2,0.38,1.8,0.073,70,0.99685,0.59,9.5,No
8.7,0.42,2.4,0.072,59,0.99617,0.77,12,No
7.2,0.38,1.8,0.073,70,0.99685,0.59,9.5,No
6.8,0.48,1.8,0.074,64,0.99529,0.49,9.6,No
8.5,0.34,4.7,0.055,9,0.99738,0.66,11.6,Yes
7.9,0.19,1.6,0.057,30,0.994,0.69,11.2,No
11.6,0.41,1.5,0.095,41,0.99735,0.76,9.9,Yes
11.6,0.41,1.5,0.095,41,0.99735,0.76,9.9,Yes
10,0.26,1.9,0.083,74,0.99451,0.63,11.8,Yes
7.9,0.34,2,0.086,19,0.99546,0.6,11.4,No
7,0.54,2,0.081,16,0.99479,0.59,11.5,No
9.2,0.31,2.2,0.079,31,0.99615,0.86,12,Yes
6.6,0.725,5.5,0.117,17,0.99655,0.49,10.8,No
9.4,0.4,2.5,0.087,20,0.99772,0.5,10.5,No
6.6,0.725,5.5,0.117,17,0.99655,0.49,10.8,No
8.6,0.52,1.5,0.096,18,0.99666,0.52,9.4,No
8,0.31,2.1,0.216,16,0.99358,0.81,12.5,Yes
8.6,0.52,1.5,0.096,18,0.99666,0.52,9.4,No
8.4,0.34,2.1,0.072,36,0.99392,0.78,12.4,No
7.4,0.49,2.1,0.071,25,0.99388,0.63,12,No
6.1,0.48,1.7,0.078,30,0.99402,0.54,11.2,No
7.4,0.49,2.1,0.071,25,0.99388,0.63,12,No
8,0.48,2.2,0.073,25,0.9936,0.66,12.4,No
6.3,0.57,2.1,0.048,49,0.99374,0.6,12.8,No
8.2,0.23,1.9,0.069,17,0.99376,0.54,12.3,No
9.1,0.3,2,0.068,24,0.99523,0.85,11.7,Yes
8.1,0.78,3.3,0.09,13,0.99855,0.49,9.5,No
10.8,0.47,2.1,0.171,66,0.9982,0.76,10.8,No
8.3,0.53,1.4,0.07,14,0.99593,0.64,10,No
5.4,0.42,2,0.092,55,0.99471,0.64,12.3,Yes
7.9,0.33,1.5,0.056,35,0.99396,0.71,11,No
8.9,0.24,1.6,0.074,10,0.99698,0.59,9.5,No
5,0.4,4.3,0.046,80,0.9902,0.66,13.6,No
7,0.69,2.5,0.091,21,0.99572,0.6,11.3,No
7,0.69,2.5,0.091,21,0.99572,0.6,11.3,No
7,0.69,2.5,0.091,21,0.99572,0.6,11.3,No
7.1,0.39,2.1,0.065,24,0.99252,0.53,13.3,No
5.6,0.66,2.5,0.066,15,0.99256,0.58,12.9,No
7.9,0.54,2.5,0.076,17,0.99235,0.72,13.1,Yes
6.6,0.5,1.8,0.062,28,0.99352,0.55,12.3,No
6.3,0.47,1.4,0.055,33,0.9922,0.48,12.3,No
10.7,0.4,1.9,0.081,29,0.99674,0.65,11.2,No
6.5,0.58,2.2,0.096,13,0.99557,0.62,11.5,No
8.8,0.24,1.7,0.055,27,0.99394,0.59,11.3,Yes
5.8,0.29,1.7,0.063,11,0.9915,0.54,13.5,No
6.3,0.76,2.9,0.072,52,0.99379,0.6,11.5,No
10,0.43,2.7,0.095,89,0.9984,0.68,10,No
10.5,0.43,3.3,0.092,70,0.99798,0.69,10.5,No
9.1,0.6,1.9,0.058,10,0.9977,0.63,10.4,No
5.9,0.19,1.7,0.045,135,0.99341,0.44,9.5,No
7.4,0.36,1.8,0.075,38,0.9933,0.88,13.6,Yes
7.2,0.48,5.5,0.089,18,0.99684,0.68,11.2,Yes
8.5,0.28,1.7,0.061,15,0.99524,0.74,11.8,Yes
8,0.25,1.7,0.067,50,0.9946,0.6,11.9,No
10.4,0.52,2,0.08,13,0.99774,0.76,11.4,No
10.4,0.52,2,0.08,13,0.99774,0.76,11.4,No
7.5,0.41,3.7,0.104,94,0.99786,0.58,9.1,No
8.2,0.51,2,0.079,86,0.99764,0.64,9.5,No
7.3,0.4,1.7,0.08,79,0.9969,0.65,9.5,No
8.2,0.38,2.5,0.08,71,0.99624,0.85,11,No
6.9,0.45,2.4,0.043,12,0.99354,0.65,11.4,No
7,0.22,1.8,0.065,20,0.99672,0.82,10,No
7.3,0.32,2.3,0.066,70,0.99588,0.62,10.1,No
8.2,0.2,2.5,0.076,51,0.99672,0.81,10.4,No
7.8,0.5,1.8,0.178,21,0.996,0.87,9.8,No
10,0.41,6.2,0.071,14,0.99702,0.49,11.8,Yes
7.8,0.39,2,0.086,21,0.99526,0.66,11.6,No
10,0.35,2,0.061,11,0.99585,0.52,12,No
8.2,0.33,2.8,0.067,12,0.99473,0.76,12.8,Yes
6.1,0.58,2.5,0.044,70,0.99352,0.65,12.5,No
8.3,0.6,2.2,0.118,38,0.99616,0.53,9.8,No
9.6,0.42,2.1,0.083,38,0.99622,0.66,11.1,No
6.6,0.58,2.2,0.1,63,0.99544,0.68,11.4,No
8.3,0.6,2.2,0.118,38,0.99616,0.53,9.8,No
8.5,0.18,1.75,0.071,88,0.99524,0.76,11.8,Yes
5.1,0.51,2.1,0.042,101,0.9924,0.87,12.9,Yes
6.7,0.41,2.8,0.076,54,0.99572,1.16,10.6,No
10.2,0.41,2.2,0.11,37,0.99728,0.67,10.8,No
10.6,0.36,2.3,0.087,20,0.99676,0.72,11.1,Yes
8.8,0.45,1.4,0.076,21,0.99551,0.75,10.2,No
8.5,0.32,2.3,0.075,19,0.99434,0.71,11.8,Yes
9,0.785,1.7,0.078,21,0.99692,0.67,10,No
9,0.785,1.7,0.078,21,0.99692,0.67,10,No
8.5,0.44,1.9,0.369,38,0.99634,1.1,9.4,No
9.9,0.54,2,0.111,60,0.99709,0.98,10.2,No
8.2,0.33,2.5,0.074,48,0.99528,0.88,12.4,Yes
6.5,0.34,2.8,0.067,44,0.99384,0.56,12,No
7.6,0.5,2.3,0.086,14,0.99502,0.62,11.5,No
9.2,0.36,1.6,0.062,12,0.99667,0.67,10.5,No
7.1,0.59,2.2,0.078,44,0.99522,0.68,10.8,No
9.7,0.42,2.1,0.074,16,0.99649,0.74,12.3,No
7.6,0.36,1.7,0.079,65,0.99716,0.62,9.5,No
7.6,0.36,1.7,0.079,65,0.99716,0.62,9.5,No
6.5,0.61,2.2,0.095,59,0.99541,0.7,11.5,No
6.5,0.88,5.6,0.079,47,0.99572,0.5,11.2,No
7.1,0.66,2.4,0.052,11,0.99318,0.66,12.7,Yes
5.6,0.915,2.1,0.041,78,0.99346,0.73,11.4,No
8.2,0.35,2.4,0.076,47,0.99599,0.81,11,No
8.2,0.35,2.4,0.076,47,0.99599,0.81,11,No
9.8,0.39,1.65,0.068,11,0.99478,0.46,11.4,No
10.2,0.4,2.5,0.068,54,0.99754,0.86,10.5,No
6.8,0.66,1.6,0.07,61,0.99572,0.6,9.3,No
6.7,0.64,2.1,0.08,119,0.99538,0.7,10.9,No
7,0.43,2,0.085,39,0.99346,0.46,11.9,No
6.6,0.8,7.8,0.079,12,0.9963,0.5,12.2,No
7,0.43,2,0.085,39,0.99346,0.46,11.9,No
6.7,0.64,2.1,0.08,119,0.99538,0.7,10.9,No
8.8,0.955,1.8,0.075,19,0.99616,0.44,9.6,No
9.1,0.4,4.6,0.08,20,0.99652,0.57,12.5,No
6.5,0.885,2.3,0.166,12,0.99551,0.51,10.8,No
7.2,0.25,2.5,0.063,41,0.99439,0.8,12.4,Yes
6.4,0.885,2.3,0.166,12,0.99551,0.51,10.8,No
7,0.745,1.8,0.114,64,0.99588,0.59,9.5,No
6.2,0.43,1.8,0.078,56,0.99633,0.6,9.5,No
7.9,0.58,2.3,0.076,94,0.99686,0.58,9.5,No
7.7,0.57,1.5,0.069,9,0.99458,0.54,9.8,No
7.7,0.26,2,0.052,77,0.9951,0.79,10.9,No
7.9,0.58,2.3,0.076,94,0.99686,0.58,9.5,No
7.7,0.57,1.5,0.069,9,0.99458,0.54,9.8,No
