Bill,Tip,Credit,Guests,Day,Server
23.70,10.00,n,2.00,f,A
36.11,7.00,n,3.00,f,B
31.99,5.01,y,2.00,f,A
17.39,3.61,y,2.00,f,B
15.41,3.00,n,2.00,f,B
18.62,2.50,n,2.00,f,A
21.56,3.44,n,2.00,f,B
19.58,2.42,n,2.00,f,A
23.59,3.00,n,2.00,f,A
18.67,2.00,n,2.00,f,B
15.19,1.75,n,1.00,f,B
10.17,2.10,n,1.00,f,A
8.08,1.00,n,1.00,f,B
8.83,1.25,n,2.00,f,B
8.88,1.12,n,2.00,f,B
17.49,3.00,n,3.00,f,B
18.40,2.60,n,2.00,f,C
29.05,5.91,y,2.00,th,C
9.31,1.25,n,1.00,th,C
41.94,7.06,y,5.00,th,C
55.59,10.00,n,5.00,th,C
25.09,5.00,y,2.00,th,C
13.11,2.00,n,1.00,th,C
49.59,10.41,y,4.00,th,C
36.86,6.14,y,2.00,th,B
22.68,3.55,n,2.00,th,A
29.53,4.47,y,3.00,th,B
18.62,3.11,n,2.00,th,A
31.35,4.50,n,2.00,th,A
24.34,4.00,y,3.00,th,C
39.80,6.30,y,2.00,th,C
12.54,2.00,n,2.00,th,B
13.38,2.00,n,2.00,th,B
16.53,2.47,n,2.00,th,A
16.85,3.00,n,2.00,th,B
15.73,5.00,n,2.00,th,B
31.14,5.00,n,3.00,th,B
18.14,2.75,n,2.00,th,A
9.58,1.42,n,1.00,th,A
35.90,5.00,n,3.00,th,B
17.44,3.70,n,2.00,w,A
19.69,2.31,n,2.00,w,B
59.33,10.00,y,6.00,w,B
9.36,1.44,y,1.00,w,B
10.59,1.50,n,1.00,w,B
31.94,8.06,n,3.00,w,A
22.26,3.74,y,2.00,w,B
20.33,4.00,n,2.00,w,B
10.17,1.83,n,1.00,w,A
9.20,1.80,n,1.00,w,A
21.88,4.00,n,3.00,w,B
20.87,3.13,y,2.00,w,B
17.39,3.61,n,2.00,w,A
7.97,1.03,n,2.00,w,C
32.31,4.69,n,2.00,w,A
7.70,1.00,n,1.00,w,C
7.76,1.00,n,1.00,w,C
23.43,4.00,n,2.00,w,C
38.73,5.70,n,2.00,w,A
70.51,10.49,y,2.00,w,A
60.72,15.00,y,1.00,w,A
30.98,5.02,y,1.00,w,A
23.27,3.73,n,2.00,w,B
25.95,4.05,y,2.00,th,B
29.64,6.00,n,2.00,th,A
8.29,1.00,y,2.00,th,A
26.16,4.53,n,1.00,th,A
34.94,6.96,y,2.00,th,A
53.54,9.00,y,2.00,t,A
22.47,4.00,y,2.00,th,A
37.24,6.70,y,2.00,f,A
23.65,3.15,n,2.00,f,C
28.89,3.46,n,2.00,f,A
21.24,3.62,n,2.00,f,A
20.22,2.00,n,2.00,f,C
7.54,1.26,n,3.00,f,A
22.36,3.00,n,2.00,f,C
27.98,5.42,n,2.00,f,C
22.95,4.05,y,2.00,f,C
17.71,2.30,n,2.00,th,A
28.09,5.11,n,4.00,th,A
29.00,4.00,n,3.00,w,A
18.67,3.00,n,3.00,w,C
37.34,5.96,y,2.00,w,C
22.20,4.00,y,1.00,w,C
36.27,7.00,y,2.00,w,A
23.00,3.75,n,1.00,w,A
42.96,7.04,y,2.00,w,C
23.38,4.00,n,2.00,th,B
21.03,3.00,n,2.00,w,B
26.80,2.20,n,2.00,w,B
28.36,5.20,n,1.00,th,B
18.73,2.27,n,2.00,th,B
50.24,9.76,y,2.00,w,C
12.31,1.90,n,2.00,w,B
28.84,5.16,n,2.00,w,B
19.42,3.00,n,2.00,w,B
18.62,2.79,y,3.00,w,A
10.17,2.00,n,1.00,w,A
18.62,3.35,y,2.00,t,A
57.30,10.00,n,7.00,t,C
25.63,5.00,n,2.00,w,B
39.75,7.25,y,2.00,w,A
1.66,0.25,n,1.00,w,A
9.52,1.00,n,1.00,w,A
11.18,2.00,y,2.00,t,A
18.83,2.80,n,2.00,m,B
17.82,2.75,n,2.00,m,B
35.95,6.05,y,3.00,m,B
23.97,4.00,n,2.00,m,B
27.45,4.00,y,3.00,m,B
27.66,4.16,y,2.00,t,C
27.82,4.71,n,3.00,th,B
19.53,8.00,n,2.00,t,A
11.18,1.82,y,2.00,t,A
11.93,2.00,n,1.00,t,A
18.67,3.33,y,2.00,t,A
28.36,5.44,n,3.00,w,A
18.14,4.00,n,3.00,w,C
20.22,4.37,n,2.00,w,A
11.66,1.50,n,1.00,w,A
17.82,3.18,y,2.00,w,C
18.62,2.38,y,2.00,w,C
3.26,0.74,n,2.00,w,C
23.91,4.00,n,2.00,w,A
15.25,2.75,y,2.00,w,A
7.44,1.56,n,1.00,w,B
11.72,2.28,y,1.00,w,A
8.40,1.60,y,1.00,w,A
17.44,2.00,n,2.00,w,A
12.52,1.50,n,1.00,w,B
14.34,2.00,n,2.00,w,B
30.60,5.00,y,2.00,w,B
18.08,2.00,n,2.00,w,A
16.48,3.00,n,2.00,m,B
24.50,3.50,y,2.00,t,A
17.12,3.72,n,2.00,t,A
6.69,1.00,n,1.00,m,B
16.26,2.43,n,2.00,w,B
13.86,1.14,n,1.00,t,C
30.98,4.02,y,4.00,t,C
18.40,2.75,n,2.00,m,B
16.80,2.20,y,2.00,m,B
3.75,0.25,n,2.00,m,B
32.69,5.00,n,2.00,m,B
35.68,5.00,n,3.00,m,B
9.84,2.16,y,1.00,m,B
14.23,2.15,n,2.00,w,B
29.85,4.15,y,2.00,w,A
20.76,3.00,n,2.00,m,B
24.82,4.40,n,2.00,m,B
15.62,2.81,n,2.00,th,B
31.30,5.70,y,3.00,m,B
12.57,2.00,n,3.00,m,B
14.87,3.13,n,2.00,m,B
51.68,10.00,y,6.00,m,B
17.12,2.50,n,2.00,m,B